"","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"1","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Liverpool","Home",990,3,3,0,0,15,7,0,0,627,21,14,11,1.8,1.8,1.6,25,5,410,528,77.7,54,383,32,15,11
"2","Premier League","2019-08-09","Premier League (Matchweek 1)","Liverpool","4-3-3",4,1.8,"Grant Hanley (OG) · 7&rsquor; Mohamed Salah · 19&rsquor; Virgil van Dijk · 28&rsquor; Divock Origi · 42&rsquor;","0","0","Norwich City","4-2-3-1",1,0.9,"Teemu Pukki · 64&rsquor;","2","0","https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League","Norwich City","Away",990,1,1,0,0,12,5,2,0,534,12,11,9,0.9,0.9,0.8,21,2,307,404,76,26,302,12,16,10
"3","Premier League","2019-08-10","Premier League (Matchweek 1)","West Ham United","4-2-3-1",0,1.1,"","2","0","Manchester City","4-3-3",5,3.2,"Gabriel Jesus · 25&rsquor; Raheem Sterling · 51&rsquor; Raheem Sterling · 75&rsquor; Sergio Agüero (P) · 86&rsquor; Raheem Sterling · 90+1&rsquor;","2","0","https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League","West Ham United","Home",990,0,0,0,0,5,3,2,0,523,18,9,7,1.1,1.1,0.4,9,0,350,445,78.7,27,309,10,12,8
"4","Premier League","2019-08-10","Premier League (Matchweek 1)","West Ham United","4-2-3-1",0,1.1,"","2","0","Manchester City","4-3-3",5,3.2,"Gabriel Jesus · 25&rsquor; Raheem Sterling · 51&rsquor; Raheem Sterling · 75&rsquor; Sergio Agüero (P) · 86&rsquor; Raheem Sterling · 90+1&rsquor;","2","0","https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League","Manchester City","Away",990,5,4,1,1,13,8,2,0,682,18,13,8,3.2,2.4,2.4,24,6,494,578,85.5,54,485,37,18,13
"5","Premier League","2019-08-10","Premier League (Matchweek 1)","Burnley","4-4-2",3,0.9,"Ashley Barnes · 63&rsquor; Ashley Barnes · 70&rsquor; Jóhann Berg Guðmundsson · 75&rsquor;","0","0","Southampton","3-4-3",0,1.2,"","0","0","https://fbref.com/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League","Burnley","Home",990,3,2,0,0,10,4,0,0,507,21,14,14,0.9,0.9,0.6,14,5,220,392,56.1,16,214,8,15,14
"6","Premier League","2019-08-10","Premier League (Matchweek 1)","Burnley","4-4-2",3,0.9,"Ashley Barnes · 63&rsquor; Ashley Barnes · 70&rsquor; Jóhann Berg Guðmundsson · 75&rsquor;","0","0","Southampton","3-4-3",0,1.2,"","0","0","https://fbref.com/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League","Southampton","Away",990,0,0,0,0,11,3,0,0,556,7,10,10,1.2,1.2,0.9,16,0,273,439,62.2,33,230,13,11,6
"7","Premier League","2019-08-10","Premier League (Matchweek 1)","Watford","4-2-2-2",0,0.7,"","0","0","Brighton & Hove Albion","3-4-3",3,0.8,"Abdoulaye Doucouré (OG) · 28&rsquor; Florin Andone · 65&rsquor; Neal Maupay · 77&rsquor;","1","0","https://fbref.com/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League","Watford","Home",990,0,0,0,0,11,3,0,0,562,12,12,11,0.7,0.7,0.4,19,0,349,456,76.5,40,325,15,15,9
"8","Premier League","2019-08-10","Premier League (Matchweek 1)","Watford","4-2-2-2",0,0.7,"","0","0","Brighton & Hove Albion","3-4-3",3,0.8,"Abdoulaye Doucouré (OG) · 28&rsquor; Florin Andone · 65&rsquor; Neal Maupay · 77&rsquor;","1","0","https://fbref.com/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League","Brighton & Hove Albion","Away",990,2,2,0,0,5,3,1,0,597,24,11,11,0.8,0.8,0.8,10,4,370,484,76.4,30,289,15,12,6
"9","Premier League","2019-08-10","Premier League (Matchweek 1)","Crystal Palace","4-4-2",0,0.9,"","2","0","Everton","4-2-3-1",0,1.1,"Morgan Schneiderlin · 76&rsquor;","4","1","https://fbref.com/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League","Crystal Palace","Home",990,0,0,0,0,6,2,2,0,427,21,10,16,0.9,0.9,0.9,11,0,179,318,56.3,23,160,13,12,8
"10","Premier League","2019-08-10","Premier League (Matchweek 1)","Crystal Palace","4-4-2",0,0.9,"","2","0","Everton","4-2-3-1",0,1.1,"Morgan Schneiderlin · 76&rsquor;","4","1","https://fbref.com/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League","Everton","Away",975,0,0,0,0,10,2,3,1,690,14,14,11,1.2,1.2,0.4,15,0,438,558,78.5,54,402,10,14,5
